change_number,revision_number,rbe_gcp_started,rbe_gcp_state,rbe_gcp_time_seconds,rbe_gcp_time_minutes,rbe_bb_started,rbe_bb_state,rbe_bb_time_seconds,rbe_bb_time_minutes
388214,5,2024-01-15 15:08:22.000000000,SUCCESSFUL,4995.0,83.25,2024-01-15 14:47:21.000000000,SUCCESSFUL,3088.0,51.47
388172,4,2023-12-28 22:00:31.000000000,SUCCESSFUL,1459.0,24.32,2023-12-28 22:00:46.000000000,FAILED,452.0,7.53
388172,5,2024-01-15 14:45:53.000000000,SUCCESSFUL,6332.0,105.53,2024-01-15 14:47:21.000000000,SUCCESSFUL,2622.0,43.7
388874,7,2023-12-28 22:00:28.000000000,SUCCESSFUL,1947.0,32.45,2023-12-28 22:01:10.000000000,RUNNING,,
388874,8,2024-01-15 14:45:47.000000000,SUCCESSFUL,5212.0,86.87,2024-01-15 14:47:18.000000000,SUCCESSFUL,1438.0,23.97
388221,5,2023-12-27 00:39:52.000000000,SUCCESSFUL,5737.0,95.62,2023-12-28 22:48:22.000000000,RUNNING,,
388221,6,2024-01-15 14:45:54.000000000,SUCCESSFUL,4980.0,83.0,2024-01-15 16:12:00.000000000,FAILED,393.0,6.55
388220,5,2023-12-27 00:39:50.000000000,SUCCESSFUL,5524.0,92.07,2023-12-28 22:01:08.000000000,SUCCESSFUL,2807.0,46.78
388220,6,2024-01-15 14:45:46.000000000,SUCCESSFUL,1576.0,26.27,2024-01-15 16:12:18.000000000,SUCCESSFUL,533.0,8.88
388217,4,2023-12-28 22:00:27.000000000,SUCCESSFUL,2177.0,36.28,2023-12-28 22:00:42.000000000,FAILED,491.0,8.18
388217,5,2024-01-15 14:45:46.000000000,SUCCESSFUL,3458.0,57.63,2024-01-15 14:47:17.000000000,SUCCESSFUL,1854.0,30.9
388219,6,2023-12-27 00:39:45.000000000,SUCCESSFUL,3324.0,55.4,2023-12-28 22:01:10.000000000,FAILED,1388.0,23.13
388219,7,2024-01-15 14:45:49.000000000,SUCCESSFUL,3163.0,52.72,2024-01-15 16:05:44.000000000,SUCCESSFUL,555.0,9.25
388224,5,2023-12-27 12:29:16.000000000,SUCCESSFUL,962.0,16.03,2023-12-28 22:50:16.000000000,RUNNING,-11.0,-0.18
388224,6,2024-01-15 14:45:50.000000000,SUCCESSFUL,2261.0,37.68,2024-01-15 14:47:21.000000000,SUCCESSFUL,2193.0,36.55
388216,4,2023-12-27 00:39:44.000000000,SUCCESSFUL,3340.0,55.67,2023-12-28 22:00:39.000000000,SUCCESSFUL,1386.0,23.1
388216,5,2024-01-15 14:45:48.000000000,SUCCESSFUL,3768.0,62.8,2024-01-15 14:47:23.000000000,SUCCESSFUL,3350.0,55.83
388218,4,2023-12-27 00:39:48.000000000,SUCCESSFUL,5526.0,92.1,2023-12-28 22:27:25.000000000,SUCCESSFUL,1253.0,20.88
388218,5,2024-01-15 14:45:54.000000000,SUCCESSFUL,3750.0,62.5,2024-01-15 16:15:02.000000000,SUCCESSFUL,839.0,13.98
388223,5,2023-12-27 00:39:44.000000000,SUCCESSFUL,3287.0,54.78,2023-12-28 22:01:07.000000000,FAILED,1522.0,25.37
388223,6,2024-01-15 14:45:43.000000000,SUCCESSFUL,1793.0,29.88,2024-01-15 14:47:15.000000000,SUCCESSFUL,1332.0,22.2
388173,4,2023-12-28 16:59:34.000000000,RUNNING,-141475.0,-2357.92,2023-12-28 22:00:41.000000000,SUCCESSFUL,1375.0,22.92
388173,5,2024-01-15 14:45:44.000000000,SUCCESSFUL,1660.0,27.67,2024-01-15 16:01:34.000000000,SUCCESSFUL,599.0,9.98
402798,1,2024-01-15 14:05:21.000000000,SUCCESSFUL,1441.0,24.02,2024-01-15 14:05:35.000000000,SUCCESSFUL,526.0,8.77
399558,2,2023-12-27 00:39:48.000000000,SUCCESSFUL,4905.0,81.75,2023-12-28 22:01:09.000000000,FAILED,1389.0,23.15
402797,1,2024-01-15 13:50:23.000000000,SUCCESSFUL,1193.0,19.88,2024-01-15 13:50:34.000000000,SUCCESSFUL,170.0,2.83
402719,1,2024-01-15 09:35:24.000000000,SUCCESSFUL,1316.0,21.93,2024-01-15 09:35:39.000000000,SUCCESSFUL,506.0,8.43
402719,2,2024-01-15 11:00:22.000000000,SUCCESSFUL,707.0,11.78,2024-01-15 11:00:32.000000000,SUCCESSFUL,282.0,4.7
402719,3,2024-01-15 13:24:28.000000000,SUCCESSFUL,1056.0,17.6,2024-01-15 13:00:35.000000000,SUCCESSFUL,579.0,9.65
402158,1,2024-01-12 08:14:56.000000000,FAILED,513.0,8.55,2024-01-12 07:40:40.000000000,FAILED,641.0,10.68
402158,3,2024-01-12 08:32:15.000000000,FAILED,490.0,8.17,2024-01-12 08:10:39.000000000,FAILED,164.0,2.73
402158,4,2024-01-15 11:01:19.000000000,FAILED,538.0,8.97,2024-01-15 10:00:33.000000000,FAILED,201.0,3.35
402158,5,2024-01-15 11:40:22.000000000,SUCCESSFUL,1244.0,20.73,2024-01-15 11:40:38.000000000,SUCCESSFUL,607.0,10.12
402158,6,2024-01-15 11:55:26.000000000,SUCCESSFUL,1168.0,19.47,2024-01-15 11:55:41.000000000,SUCCESSFUL,418.0,6.97
402158,7,2024-01-15 12:25:27.000000000,SUCCESSFUL,469.0,7.82,2024-01-15 12:25:32.000000000,SUCCESSFUL,177.0,2.95
401442,1,2024-01-10 09:30:22.000000000,FAILED,474.0,7.9,2024-01-10 09:30:26.000000000,FAILED,91.0,1.52
401442,3,2024-01-10 09:35:27.000000000,FAILED,1012.0,16.87,2024-01-10 09:35:36.000000000,FAILED,100.0,1.67
401442,4,2024-01-15 12:27:07.000000000,FAILED,621.0,10.35,2024-01-15 11:40:39.000000000,FAILED,606.0,10.1
401442,6,2024-01-15 12:35:51.000000000,FAILED,715.0,11.92,2024-01-15 11:55:41.000000000,FAILED,457.0,7.62
401442,7,2024-01-15 12:56:14.000000000,FAILED,944.0,15.73,2024-01-15 12:25:29.000000000,FAILED,176.0,2.93
402759,1,2024-01-15 10:00:21.000000000,SUCCESSFUL,889.0,14.82,2024-01-15 10:00:29.000000000,SUCCESSFUL,514.0,8.57
402759,3,2024-01-15 12:00:20.000000000,SUCCESSFUL,1339.0,22.32,2024-01-15 11:55:31.000000000,SUCCESSFUL,760.0,12.67
402727,1,2024-01-15 11:30:22.000000000,SUCCESSFUL,701.0,11.68,2024-01-15 11:30:37.000000000,SUCCESSFUL,281.0,4.68
402757,1,2024-01-15 09:35:22.000000000,SUCCESSFUL,891.0,14.85,2024-01-15 09:35:40.000000000,FAILED,197.0,3.28
402725,1,2024-01-15 10:20:27.000000000,SUCCESSFUL,2006.0,33.43,2024-01-15 10:20:46.000000000,SUCCESSFUL,942.0,15.7
